adres_id,ulica,nr_domu,nr_mieszkania,miejscowosc,kraj
1,E Madison,9,20,Appleton City,Panama
2,America Moor,9,12,Ponderosa,Nauru
3,N Marshfield,7,7,Lucan,United Arab Emirates
4,Turnlee,1,13,Nicollet,Niger
5,Rhen,2,49,Broad Creek,Syria
6,South Hickory,7,29,John Day,Djibouti
7,Long Border,3,2,Mosier,Argentina
8,Wolverine,6,7,Diamond,Australia
9,Dionne,5,27,Fierro,South Sudan
10,The Mansion on O,9,49,Interlachen,Vanuatu
11,N Mansfield,7,43,Christy Manor,France
12,Margaret Keahon,2,7,Saint Thomas,India
13,Pits Farm,5,39,Smithland,South Sudan
14,Traill,5,18,Putnamville,Madagascar
15,Places,5,37,Lionville,Cameroon
16,Hawkshaw,5,21,Sumter,Moldova
17,Jacquelin,9,38,Pearl,Barbados
18,Garit,8,8,Munising,Iceland
19,Mitlon,4,7,Neshaminy,St Kitts & Nevis
20,Methley,2,38,Bellbrook,Swaziland
21,Redwood Gulch,6,8,Iron Junction,Gabon
22,Lynne,4,33,Crow Agency,Angola
23,Linden Park,10,10,Maple Falls,Mexico
24,Pinkney,1,36,Wyaconda,Turkmenistan
25,Early Times,4,8,Whiteflat,Mali
26,Coombe Hill,9,22,Emmons,Sri Lanka
27,Tarlton,8,41,Radford,Jordan
28,Nola,2,7,Fifield,Portugal
29,Nurses,8,4,Seale,Oman
30,Sugar Babe,3,39,Duck,Nepal
31,Kealsy,9,41,Tanner,Congo
32,Alletta,8,4,Marshallton,Madagascar
33,Emilia,10,44,Cuyahoga Falls,Mexico
34,N Montana,1,27,Accord,Samoa
35,Wayward,6,38,Worthington Hills,Dominica
36,Pottersheath,10,10,Fillmore,Nauru
37,Herter,9,33,Springport,Vanuatu
38,Braewood,8,43,Lodge,Chile
39,Cox Green,6,25,Scott Depot,Turkey
40,Orchads,8,30,Broken Arrow,Suriname
41,S La Fox,9,22,Curtis,East Timor
42,Ernst,2,27,Liberty Lake,Costa Rica
43,Normanstone,10,11,Lake Tanglewood,Liechtenstein
44,Anstice,1,29,East Dubuque,Oman
45,Bariston,6,28,Parchment,Yemen
46,Brookside Glen,10,43,Munster,Bahamas
47,Kimbers,5,40,Hybla Valley,China
48,S Tyler,1,37,Fort Clark,Moldova
49,Davisfield,4,6,Chandlerville,Mauritania
50,Prion,4,5,Pinecreek,Bahrain
51,Sotterly,1,49,Austell,Ireland {Republic}
52,Thierry,10,6,Plato,Namibia
53,Coghlan,8,17,Cygnet,El Salvador
54,Edwards Ferry,8,11,Wickenburg,Nepal
55,Hawk Hollow,7,5,Powersville,Netherlands
56,Springvale,1,10,Royal City,Sierra Leone
57,Dewyk,6,40,Saxton,Malta
58,West Winton,5,29,Kooskia,Finland
59,Corens,10,14,Coteau Holmes,Marshall Islands
60,Grimes,2,19,Slater,Kenya
61,Conie,3,41,Hollister,Iran
62,Southleigh,6,24,Pennsauken,Norway
63,Pestana,6,25,Port Carbon,Kazakhstan
64,Speckel,1,9,Daguao,Thailand
65,Camino del Lago,1,48,Mount Aetna,Turkey
66,Downsview,2,26,South Kensington,Tonga
67,Snowling,1,30,Wood-Ridge,France
68,Troubador,5,34,Vian,Philippines
69,W Vadnais,4,25,Croft,Colombia
70,Witherington,1,26,Exum,Bhutan
71,Trotting,3,14,Unionville Center,Dominica
72,Leichester,3,40,Hopkinsville,Samoa
73,Nyletta,9,20,Prairie Farm,Panama
74,Diamantina,9,28,Tonet,Yemen
75,Squam,6,39,Wildorado,Nicaragua
76,Whippoorwill,1,13,Hickory Valley,Dominican Republic
77,Mc Garvey,6,48,Barberville,Russian Federation
78,Tiemann,4,41,Ocean Shores,Saint Vincent & the Grenadines
79,East University,10,16,Abrams,Trinidad & Tobago
80,Casa Robles,7,47,Prairie Grove,Venezuela
81,Dalrympl,3,17,Trinity Center,Antigua
82,Cuddington,5,10,Gratiot,Bahrain
83,Wood Acers,5,7,Antonino,Brazil
84,West Ferry,1,15,Des Plaines,Honduras
85,Croyde,8,12,McCord,Mali
86,Rocky Creek,3,11,Cullom,Trinidad & Tobago
87,Bean Hollow,5,27,Crosby,East Timor
88,Promontory,4,29,Alleman,Ireland {Republic}
89,Lloyd Baker,6,13,Eastland,Haiti
90,Spatham,8,14,Parachute,Taiwan
91,Brandon,6,2,Mosby,Hungary
92,Bednal,1,17,Santa Rosa,Bahrain
93,Shardcroft,5,29,Devils Lake,Norway
94,Liston,9,49,North Hero,Burkina
95,Bressey,6,21,Ayden,Portugal
96,Trailing Ivy,6,49,Mabana,United States
97,Old Cart Path,9,25,Sarben,Vietnam
98,Rifton,6,16,Berville,Paraguay
99,Hidden Lake,2,16,Edgartown,Armenia
100,Letzen,8,50,East Branch,Togo
101,Old New Bridge,3,45,Neavitt,Benin
102,Queen Charlotte,1,49,Kurtistown,Sudan
103,Callaways,10,46,Hanna,Tonga
104,Brinkinfield,7,48,Gosnell,Swaziland
105,Golden Springs,10,6,Mount Calm,Senegal
106,Fox Chapel,7,39,North Plainfield,Lithuania
107,Coldershaw,8,34,Brownville Junction,Niger
108,Saint Bernards,4,24,Wildrose,Kenya
109,Wakefield Pond,8,3,Loop,Niger
110,Tutt,8,7,Wheatcroft,Belize
111,Winfields,6,27,Lynndyl,El Salvador
112,Dorman,9,11,Pinardville,Palau
113,Warnham,3,17,Green City,Slovakia
114,Moat,3,2,Enid,Pakistan
115,Bobstay,9,17,Shavano Park,Moldova
116,Sunstone,3,39,Mount Angel,Albania
117,Vigo,1,41,Golden Gate,Austria
118,Whites Ridge,5,40,Cushing,Iceland
119,Wilstrode,4,10,Ponderosa Park,Sierra Leone
120,Hoo Green,1,47,La Casita,Maldives
121,English Prairie,7,6,Fernando,Tajikistan
122,Diss,8,31,Chalkville,Malawi
123,Ysabel,6,48,El Toro,Saint Vincent & the Grenadines
124,San Simeon,9,9,Norwood Young America,Bhutan
125,West Sneed,10,21,Burwell,Chad
126,Mark Center,4,8,Zahl,Haiti
127,Gentian,2,37,Upper Sainte Clair,Ecuador
128,Akela,7,4,Seiling,Ghana
129,Monksdale,2,18,Cleaton,Costa Rica
130,Trawler,6,50,Machens,Myanmar
131,Davie,4,30,Cheyenne,Romania
132,Chaldon,3,37,Pheba,Nauru
133,Kersten,9,28,Marksville,Uzbekistan
134,S Hudson,7,35,Knierim,Kyrgyzstan
135,W Kohl,2,11,Chignik,Brazil
136,Yeoman,1,22,Varnado,Luxembourg
137,Towsen,4,19,Soquel,Ivory Coast
138,Tanglewylde,4,31,Balance Rock,Nauru
139,Lumns,8,21,Naples Park,San Marino
140,Vista Oak,9,36,Elmhurst,Equatorial Guinea
141,Orren,4,19,Toca,Ghana
142,Wiggs,3,46,Placerville,Ghana
143,Overbrook,7,45,Larrabee,Suriname
144,Sobro,7,17,Veradale,Benin
145,Borrette,4,7,Clarcona,Monaco
146,Schooley,7,21,Cookeville,Papua New Guinea
147,Morris Ranch,5,16,Baudette,Myanmar
148,Gatacre,6,8,Chevy Chase Section Five,Suriname
149,St. Ediths,2,18,Hebron,Ghana
150,Popham,5,19,Panacea,Costa Rica
151,Clue,5,17,Sheldon,Sri Lanka
152,Old Chester,3,31,Fairfield Bay,Grenada
153,Atrebatti,9,7,Perkinsville,Nepal
154,Runaldue,5,33,Prospect Heights,Syria
155,Char,3,9,Foxfield,Lesotho
156,Pennyblack,4,22,Lamy,Syria
157,Covent,4,16,Rainbow,South Africa
158,Sack,6,33,Linwood,Kuwait
159,Bodega,7,41,Tesco,Slovakia
160,Iveagh,7,12,Newburn,Nicaragua
161,S Randolph,3,37,Mountainburg,Nigeria
162,Yarn,4,5,Cooks Hammock,Kosovo
163,Quiescence,10,48,Tetonia,Ukraine
164,Hawkins Hall,5,13,Austintown,Macedonia
165,Chobham Park,9,45,Maxie,Iran
166,Kanes,7,44,Grand Saline,Grenada
167,Bunescu,5,11,Glencross,Nigeria
168,Gamenya,7,37,Richards,Comoros
169,Knowsley,4,37,Tamarack,Bolivia
170,Trapet,7,44,Head of Grassy,Grenada
171,Landview,6,23,Spackenkill,Somalia
172,Lunny,2,4,Bulverde,Iran
173,Charlden,4,24,Sparks,Bolivia
174,Peacham,9,49,Woodsville,Liberia
175,Dragoon,4,22,Genola,Palau
176,Cross,6,44,Prairie Farm,Gambia
177,Aspen Willow,7,46,Lilbourn,Botswana
178,Back Mayville,2,49,Sweet Valley,Brazil
179,Semper,1,40,Upper Mill,Benin
180,Quannapowitt,3,41,Cloverdale,Thailand
181,Waycross,5,27,Kearns,Myanmar
182,N Cardinal,3,35,Highland Hills,Marshall Islands
183,Canyon Oaks,1,42,Templeton,Gabon
184,Eglinton,2,39,Tierra Buena,Gabon
185,Chimney Swift,9,12,Poland,Belize
186,Fenceline,2,49,Center Junction,Lebanon
187,Prince Consort,7,41,Igo,Bahamas
188,Finrud,10,22,Mossyrock,United Kingdom
189,E Chevy Chase,1,50,Arimo,Canada
190,Dunollie,3,4,Maple Bluff,Belgium
191,West Ash,10,16,Evelyn,Bhutan
192,Mcrayne Hill,8,40,Indian Beach,Venezuela
193,Efner,1,31,Minco,Honduras
194,Rio Poco,3,20,Gering,Somalia
195,N Medina,5,14,Tamarack,Equatorial Guinea
196,Keri,4,36,Page Manor,Austria
197,Raddin Grove,5,47,Belding,Ivory Coast
198,West Health Sciences,7,35,Switz City,Mozambique
199,La Alegria,1,16,Lefors,Tunisia
200,William Ward,6,21,Mexico,United Arab Emirates
201,Niestrath,6,33,Takoma Park,Samoa
202,Leebrad,8,36,Epworth,Switzerland
203,W Beechcroft,2,25,Algonac,Macedonia
204,Reilleys,2,1,Belltown,Iraq
205,McCubbin,1,4,Pottsgrove,India
206,Favonia,5,4,Harvard,Samoa
207,Leon Cook,8,48,Marshfield,Romania
208,Swaynes,1,49,Monument Beach,St Lucia
209,Pope,8,30,Medart,Lithuania
210,Demetre,7,43,Deemston,Singapore
211,N Jones,8,14,Island Pond,Ireland {Republic}
212,Martina,10,42,Four Corners,Bangladesh
213,Kerbey,8,37,Gordonsville,Kuwait
214,Colorado Way Whistler,2,49,Clancy,Iraq
215,Bralan,7,40,Pena Pobre,Gambia
216,Arends,6,48,Homeville,Romania
217,Hackbridge,3,34,Jacumba,Georgia
218,Patra,5,38,Tazlina,Uganda
219,Martingdale,1,35,Weatherby,Solomon Islands
220,Trail Run,5,49,Downsville,Japan
221,Que,7,19,Kinzua,Saudi Arabia
222,Ponza,2,48,Carrolls,Poland
223,Edithna,8,1,Moose Pass,Eritrea
224,Limonite,2,18,Argonia,Guyana
225,Dry Ends,9,17,Schroon Lake,Fiji
226,Mantoni,9,11,Julesburg,Switzerland
227,Crowell Farm,4,18,Hyden,Samoa
228,Mercier,10,42,Buyck,South Africa
229,James Cook,9,16,Higganum,Pakistan
230,Mineola,1,45,Millsap,Sweden
231,N Countryside,1,10,Rural Ridge,Singapore
232,Yellowhammer,2,9,Lecanto,Monaco
233,Kings Point,6,30,Shoveltown,Colombia
234,E Olde Virginia,4,35,Saronville,Azerbaijan
235,Eskow,4,34,Port Wing,Ethiopia
236,Chancelor,9,9,Coletown,Eritrea
237,Vallery,9,13,Frankville,Haiti
238,Spa,3,29,Snead,Panama
239,Astron,7,39,Warda,Liberia
240,Vauxhall,9,16,Walkerville,Ethiopia
241,Merrals Wood,8,29,South Mansfield,Turkmenistan
242,Viceroy,9,24,Salamatof,Afghanistan
243,Cotherstone,5,38,Nathan,Haiti
244,Riders,3,31,Newbern,South Sudan
245,Pepperidge Tree,4,8,Neshaminy,Kenya
246,Kingslea,6,22,McKinleyville,Italy
247,Annangrove,4,50,Howesville,Nauru
248,Wohseepee,1,3,Neptune Beach,Dominican Republic
249,Plant,5,15,Mitchell,Zambia
250,Glen Valley,10,19,Cibecue,Ghana
251,Coombs,9,36,Laingsburg,Sao Tome & Principe
252,Churchtown,8,10,Chesterfield,Uganda
253,Fisk Mill,9,12,Kopperston,Nepal
254,Mongomery,1,21,Rockport,Kazakhstan
255,Rindo Park,3,20,Villano Beach,Iceland
256,East San Martin,5,26,Glyndon,Laos
257,Darras,2,27,Bellmead,Iceland
258,Cammeray,4,21,Hernando Beach,Dominican Republic
259,Zinn,6,2,Oakland City,Indonesia
260,S Ocean,5,31,Ong,Slovenia
261,Cleaver,4,17,Simcoe,Ghana
262,Tinkers Creek,10,15,Lumberport,Zimbabwe
263,Broughton Craggs,5,4,Potomac,Pakistan
264,Crossbay,3,35,Austin,Dominican Republic
265,Sailstone,8,46,Bowlus,Eritrea
266,Nutham,4,17,Chesaning,Bahrain
267,Carol Lynn,9,32,San Jose,Colombia
268,Tippin,3,11,Frye Island,St Lucia
269,Country Forge,5,19,Kayenta,Zimbabwe
270,Pipeline Service,5,22,The Plains,Liechtenstein
271,S Jefferson,5,45,Hanceville,Mozambique
272,Greenlawn,9,42,Speculator,Palau
273,Coal Pier,2,14,Lebanon,Colombia
274,Summa,9,20,Borton,Spain
275,New Port,3,18,DeBary,El Salvador
276,Marina Bay,2,34,Boody,Cameroon
277,North Parish,2,11,Wanilla,Saudi Arabia
278,Snowy,9,21,Coral Springs,Thailand
279,Binda,4,46,Tarentum,Germany
280,Delbrook,6,18,Alamance,Finland
281,Greenhood,6,45,Brule,Nicaragua
282,Oak Shore,10,26,Galt,Antigua
283,Hi Lo,9,25,Wamego,Taiwan
284,Blairmore,8,18,Gleed,Sudan
285,Santoni,5,49,Macksburg,Guinea
286,Cotluss,6,45,Castle Hayne,Vietnam
287,Munday,3,24,Collierville,Micronesia
288,Flintfeet,6,16,Green Meadows,Pakistan
289,Strafello,1,9,West Jordan,Norway
290,Smidmore,6,29,Duson,Jordan
291,Lorac Vista,1,29,Murray City,Comoros
292,Pandola,1,12,Mayhill,South Sudan
293,Hobbs Brook,3,8,Ossining,Bangladesh
294,Block,5,9,Wesley Chapel,Switzerland
295,Molair,9,47,Koppel,Congo
296,Low Moorside,2,45,Johnstone,Bulgaria
297,Vandor,9,13,Orchard Valley,Kazakhstan
298,Raff,5,47,Olaton,Botswana
299,East Galer,7,19,Cannon Falls,Bosnia Herzegovina
300,Spates,5,5,DeWitt,Kazakhstan
301,Downs View,7,3,Iola,Congo
302,Old Meadow,3,27,Tundra,Belarus
303,Emington,9,38,Moulton Heights,Vatican City
304,W Roscoe,2,40,Spring Green,Tunisia
305,Horseshoe Hill,1,36,Federal Dam,Czech Republic
306,Findley,2,28,Snowflake,Burundi
307,Hatcher,8,25,Parkerton,Norway
308,E Big Sand,6,20,Buffalo Valley,Ecuador
309,Weatherwood,1,23,Las Lomas,Nauru
